epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,7819.39,0.52067,0.35361,0.97876,0.99439,0.98156,0.99326,0.90122,0.51299,0.25351,0.9658,0.000874842,0.000874842,0.000874842
98,7894.35,0.53049,0.35629,0.98311,0.99039,0.97915,0.99415,0.90153,0.49948,0.25529,0.95963,0.00086659,0.00086659,0.00086659
99,7969.43,0.51763,0.3559,0.97923,0.98919,0.97774,0.99376,0.91262,0.49302,0.25445,0.95532,0.000858338,0.000858338,0.000858338
100,8044.99,0.52503,0.35159,0.98584,0.9901,0.97743,0.99431,0.91113,0.49515,0.24928,0.95215,0.000850087,0.000850087,0.000850087
101,8118.93,0.51647,0.34837,0.97938,0.98286,0.98877,0.99448,0.91125,0.48846,0.24685,0.94767,0.000841835,0.000841835,0.000841835
102,8194.05,0.53664,0.36294,0.9884,0.98498,0.98556,0.9943,0.90541,0.49734,0.24821,0.95496,0.000833583,0.000833583,0.000833583
103,8262.65,0.51464,0.35189,0.97838,0.99055,0.98255,0.99247,0.90558,0.50317,0.24585,0.96199,0.000825332,0.000825332,0.000825332
104,8327.77,0.51061,0.34201,0.97121,0.99015,0.98669,0.99447,0.91028,0.50597,0.24689,0.96066,0.00081708,0.00081708,0.00081708
105,8392.75,0.51891,0.34262,0.97697,0.99308,0.98052,0.99401,0.90703,0.49188,0.24382,0.9564,0.000808828,0.000808828,0.000808828
106,8457.76,0.51177,0.34819,0.97623,0.99235,0.98123,0.99442,0.90889,0.48668,0.24427,0.94835,0.000800577,0.000800577,0.000800577
107,8529.79,0.51599,0.3381,0.98067,0.9925,0.98163,0.99437,0.91707,0.4763,0.2402,0.94239,0.000792325,0.000792325,0.000792325
108,8602.58,0.51723,0.34074,0.97368,0.99149,0.98614,0.99448,0.9131,0.49031,0.23812,0.95132,0.000784073,0.000784073,0.000784073
109,8675.54,0.51292,0.33996,0.97622,0.98362,0.99079,0.99461,0.9134,0.48329,0.23742,0.94373,0.000775822,0.000775822,0.000775822
110,8748.78,0.50748,0.34059,0.97286,0.98559,0.98323,0.99323,0.90993,0.48963,0.24386,0.95048,0.00076757,0.00076757,0.00076757
111,8822.01,0.50625,0.33361,0.97241,0.98423,0.98052,0.99315,0.91111,0.49214,0.24896,0.95355,0.000759318,0.000759318,0.000759318
112,8895.22,0.50368,0.33818,0.96995,0.99236,0.97753,0.99343,0.91416,0.49056,0.23905,0.95079,0.000751067,0.000751067,0.000751067
113,8968.38,0.50235,0.33601,0.97342,0.9922,0.97902,0.99437,0.91177,0.49167,0.24081,0.95874,0.000742815,0.000742815,0.000742815
114,9041.66,0.49626,0.32457,0.96832,0.99208,0.98109,0.99412,0.91857,0.47794,0.23834,0.94591,0.000734564,0.000734564,0.000734564
115,9114.67,0.50753,0.33042,0.97717,0.9938,0.9799,0.99455,0.91991,0.48029,0.23565,0.94408,0.000726312,0.000726312,0.000726312
116,9187.88,0.50621,0.33662,0.9767,0.98639,0.98805,0.99411,0.91604,0.47876,0.23702,0.93857,0.00071806,0.00071806,0.00071806
117,9260.91,0.48753,0.32519,0.96248,0.98629,0.98462,0.99429,0.92234,0.47485,0.2343,0.93838,0.000709809,0.000709809,0.000709809
118,9334.06,0.48753,0.3209,0.96573,0.98972,0.9833,0.99423,0.91697,0.48387,0.23925,0.94318,0.000701557,0.000701557,0.000701557
119,9407.11,0.49009,0.32477,0.96433,0.9832,0.98267,0.993,0.91611,0.48301,0.24135,0.94758,0.000693305,0.000693305,0.000693305
120,9480.24,0.48875,0.32184,0.96463,0.98938,0.98611,0.9944,0.91703,0.47537,0.2336,0.94218,0.000685054,0.000685054,0.000685054
121,9554.67,0.49414,0.326,0.96455,0.98621,0.9849,0.99442,0.91808,0.47872,0.23345,0.94768,0.000676802,0.000676802,0.000676802
122,9630.5,0.49776,0.32892,0.96978,0.99008,0.98506,0.99451,0.91627,0.47842,0.23372,0.95594,0.00066855,0.00066855,0.00066855
123,9700.09,0.48408,0.31976,0.96361,0.99581,0.98031,0.99459,0.91551,0.48949,0.23194,0.95214,0.000660299,0.000660299,0.000660299
124,9771.71,0.4948,0.31854,0.96715,0.98869,0.98195,0.99442,0.91896,0.47916,0.23677,0.94163,0.000652047,0.000652047,0.000652047
125,9845.08,0.47703,0.31669,0.95944,0.99609,0.98365,0.99471,0.9161,0.48621,0.22916,0.94574,0.000643795,0.000643795,0.000643795
126,9909.95,0.48932,0.32529,0.96649,0.98936,0.99185,0.99442,0.91564,0.48839,0.23216,0.95467,0.000635544,0.000635544,0.000635544
127,9974.92,0.4844,0.31818,0.9668,0.98739,0.9918,0.99465,0.91873,0.47977,0.22692,0.94549,0.000627292,0.000627292,0.000627292
128,10039.9,0.47888,0.3148,0.96209,0.99331,0.98502,0.99465,0.91749,0.47793,0.22635,0.94381,0.00061904,0.00061904,0.00061904
129,10110.2,0.48,0.31787,0.96061,0.99217,0.98885,0.99462,0.9172,0.47773,0.23186,0.94343,0.000610789,0.000610789,0.000610789
130,10183.4,0.47165,0.30906,0.95946,0.98888,0.98794,0.99436,0.91807,0.47233,0.23251,0.93575,0.000602537,0.000602537,0.000602537
131,10256.4,0.48158,0.31689,0.96538,0.9865,0.98854,0.99425,0.9155,0.4757,0.23339,0.94039,0.000594286,0.000594286,0.000594286
132,10329.5,0.47834,0.31466,0.96052,0.98729,0.98885,0.99355,0.91708,0.47775,0.23341,0.94352,0.000586034,0.000586034,0.000586034
133,10402.5,0.47163,0.31007,0.9597,0.98706,0.98371,0.99387,0.91233,0.47523,0.23126,0.94326,0.000577782,0.000577782,0.000577782
134,10476,0.46469,0.30568,0.957,0.98846,0.98236,0.99423,0.91375,0.47842,0.23205,0.94979,0.000569531,0.000569531,0.000569531
135,10551.7,0.46738,0.31074,0.95392,0.97757,0.98344,0.9934,0.91673,0.47493,0.23281,0.94184,0.000561279,0.000561279,0.000561279
136,10628.4,0.47481,0.31401,0.9581,0.99174,0.98427,0.99446,0.92128,0.4673,0.22744,0.93692,0.000553027,0.000553027,0.000553027
137,10694.5,0.46817,0.3055,0.95216,0.99011,0.98443,0.99402,0.91984,0.47902,0.22917,0.94919,0.000544776,0.000544776,0.000544776
138,10759.1,0.45847,0.30001,0.94923,0.98585,0.98859,0.99451,0.9212,0.47301,0.22635,0.9463,0.000536524,0.000536524,0.000536524
139,10834.9,0.46908,0.29766,0.96014,0.98756,0.99271,0.99462,0.92009,0.47932,0.23153,0.94693,0.000528272,0.000528272,0.000528272
140,10907.9,0.45691,0.30201,0.9518,0.99071,0.98683,0.99454,0.91759,0.47426,0.22594,0.94679,0.000520021,0.000520021,0.000520021
141,10978.4,0.45854,0.29615,0.94919,0.9917,0.98657,0.99463,0.92193,0.47497,0.22842,0.94468,0.000511769,0.000511769,0.000511769
142,11042.9,0.46119,0.29685,0.94675,0.99074,0.98565,0.99449,0.91475,0.48267,0.22709,0.95351,0.000503517,0.000503517,0.000503517
143,11106.5,0.44774,0.29865,0.95075,0.99344,0.98163,0.99449,0.91483,0.48105,0.22595,0.95443,0.000495266,0.000495266,0.000495266
144,11170.1,0.45958,0.30055,0.95267,0.99057,0.98432,0.99454,0.92091,0.47384,0.22644,0.94227,0.000487014,0.000487014,0.000487014
145,11234.2,0.45107,0.29418,0.94709,0.99045,0.98534,0.99439,0.91968,0.47071,0.2241,0.93939,0.000478762,0.000478762,0.000478762
146,11297.7,0.45692,0.29764,0.95297,0.99189,0.98292,0.99438,0.92199,0.46929,0.22534,0.9343,0.000470511,0.000470511,0.000470511
147,11361.2,0.45682,0.29742,0.95554,0.98926,0.98664,0.99454,0.92164,0.47205,0.22261,0.94091,0.000462259,0.000462259,0.000462259
148,11424.7,0.45051,0.29428,0.94644,0.98786,0.9904,0.99435,0.91918,0.47647,0.2294,0.94399,0.000454007,0.000454007,0.000454007
149,11496.3,0.44754,0.29065,0.94458,0.9893,0.98612,0.99393,0.91835,0.47363,0.23174,0.94754,0.000445756,0.000445756,0.000445756
150,11567.8,0.45166,0.28986,0.94759,0.98535,0.98737,0.99362,0.92039,0.47463,0.22762,0.94483,0.000437504,0.000437504,0.000437504
151,11639.9,0.44407,0.28935,0.94815,0.98926,0.98207,0.99381,0.92353,0.47103,0.23035,0.94513,0.000429253,0.000429253,0.000429253
152,11711.1,0.44668,0.28715,0.94484,0.98869,0.98787,0.99329,0.92153,0.46976,0.2283,0.94586,0.000421001,0.000421001,0.000421001
153,11782.4,0.44051,0.29168,0.94548,0.99082,0.98775,0.9945,0.92426,0.46701,0.22303,0.94084,0.000412749,0.000412749,0.000412749
154,11853.6,0.44399,0.28471,0.94839,0.98969,0.9877,0.99435,0.92405,0.46605,0.22355,0.94137,0.000404498,0.000404498,0.000404498
155,11924.9,0.44494,0.28901,0.94683,0.99141,0.98418,0.99435,0.91968,0.47208,0.22403,0.94404,0.000396246,0.000396246,0.000396246
156,11996.3,0.44224,0.28307,0.94343,0.9907,0.98638,0.99447,0.91906,0.47528,0.22493,0.94484,0.000387994,0.000387994,0.000387994
157,12067.6,0.43577,0.28147,0.943,0.98434,0.98771,0.99459,0.92213,0.47334,0.22573,0.9427,0.000379743,0.000379743,0.000379743
158,12138.8,0.43829,0.2837,0.94642,0.98926,0.98498,0.99448,0.92272,0.47015,0.2211,0.94248,0.000371491,0.000371491,0.000371491
159,12209.9,0.44402,0.2948,0.95158,0.9926,0.98365,0.99429,0.92209,0.47387,0.2246,0.94454,0.000363239,0.000363239,0.000363239
160,12281.2,0.43644,0.28093,0.945,0.99043,0.9868,0.9944,0.92307,0.47279,0.22061,0.94232,0.000354988,0.000354988,0.000354988
161,12352.3,0.4301,0.28103,0.93877,0.9925,0.98664,0.99457,0.92293,0.47287,0.21991,0.94195,0.000346736,0.000346736,0.000346736
162,12423.7,0.42535,0.27656,0.93643,0.99009,0.98877,0.99465,0.91958,0.47068,0.21753,0.94294,0.000338484,0.000338484,0.000338484
163,12494.9,0.44073,0.28659,0.94932,0.99148,0.98757,0.99442,0.92158,0.46934,0.21734,0.94413,0.000330233,0.000330233,0.000330233
164,12565.9,0.43161,0.27913,0.93735,0.98428,0.98752,0.99431,0.92344,0.46835,0.22273,0.93955,0.000321981,0.000321981,0.000321981
165,12637.2,0.43292,0.27679,0.94281,0.98953,0.9852,0.99435,0.92001,0.46949,0.22007,0.94086,0.000313729,0.000313729,0.000313729
166,12708.4,0.42785,0.27633,0.94162,0.99012,0.98523,0.99432,0.92256,0.46553,0.22033,0.93763,0.000305478,0.000305478,0.000305478
167,12779.4,0.42599,0.274,0.93601,0.98875,0.98588,0.99408,0.9222,0.46553,0.22136,0.93924,0.000297226,0.000297226,0.000297226
168,12850.6,0.42349,0.27305,0.93444,0.98444,0.99286,0.99413,0.92378,0.46543,0.21975,0.93978,0.000288974,0.000288974,0.000288974
169,12921.8,0.42657,0.27496,0.93766,0.98833,0.9901,0.99434,0.92533,0.4658,0.21633,0.94048,0.000280723,0.000280723,0.000280723
170,12992.9,0.42246,0.27503,0.93794,0.99043,0.98825,0.99422,0.92244,0.46922,0.21525,0.94179,0.000272471,0.000272471,0.000272471
171,13064.2,0.42451,0.27815,0.93899,0.98751,0.99009,0.99432,0.92398,0.46354,0.21648,0.93729,0.00026422,0.00026422,0.00026422
172,13135.5,0.42582,0.27067,0.93927,0.98618,0.99181,0.99427,0.92277,0.46721,0.21587,0.94119,0.000255968,0.000255968,0.000255968
173,13207.1,0.41378,0.27082,0.93213,0.99105,0.98563,0.99435,0.92236,0.46909,0.21691,0.94371,0.000247716,0.000247716,0.000247716
174,13278.9,0.41638,0.26846,0.93646,0.98987,0.9876,0.9944,0.92083,0.46897,0.21534,0.94407,0.000239465,0.000239465,0.000239465
175,13350.5,0.41312,0.26757,0.93449,0.99379,0.98813,0.9944,0.92076,0.46607,0.21421,0.94469,0.000231213,0.000231213,0.000231213
176,13422.1,0.41435,0.26658,0.9307,0.9934,0.98732,0.99448,0.92443,0.4628,0.21339,0.94167,0.000222961,0.000222961,0.000222961
177,13493.6,0.40515,0.26049,0.92702,0.98935,0.99154,0.99449,0.92263,0.46216,0.21382,0.94236,0.00021471,0.00021471,0.00021471
178,13565,0.41684,0.26837,0.93759,0.98713,0.99229,0.99444,0.92561,0.46192,0.21369,0.94073,0.000206458,0.000206458,0.000206458
179,13636.4,0.41527,0.27178,0.93432,0.99355,0.9889,0.99453,0.92407,0.46104,0.21545,0.93973,0.000198206,0.000198206,0.000198206
180,13708,0.40907,0.26866,0.9288,0.98672,0.99166,0.99449,0.92404,0.46214,0.21208,0.94055,0.000189955,0.000189955,0.000189955
181,13779.7,0.40533,0.25874,0.93134,0.98491,0.99199,0.99449,0.92454,0.46155,0.21528,0.94083,0.000181703,0.000181703,0.000181703
182,13851.1,0.4024,0.25761,0.92634,0.98437,0.99125,0.99444,0.92538,0.45918,0.21488,0.93941,0.000173451,0.000173451,0.000173451
